candidate_id,layer_count,sources_per_layer_mean,radius,z_extent,angular_offset_fraction,orientation_alpha,eig_smooth_background,eig_center_weak_target,eig_eccentric_roi_target,eig_weighted,eig_weighted_minmax,eig_weighted_zscore
cand_0002,2,24.0,1.3370416844077255,0.1974317397249645,0.571968210781185,0.35521528076708536,3.3141331672668457,3.3468639850616455,3.3942694664001465,3.3508149802684786,0.5393056322727221,0.7159590024307453
cand_0043,3,16.0,1.35874566005873,0.2974944832611602,0.1510946288723818,0.39441159905542233,3.3143205642700195,3.3480124473571777,3.39223313331604,3.3505920112133025,0.5388567333459006,0.7139056478738064
cand_0150,4,12.0,1.2791141532632346,0.3157381430421957,0.9426649665000902,0.6205354707342743,3.3146727085113525,3.348426342010498,3.3905673027038574,3.3503083825111393,0.5382857096228267,0.7112936697784347
cand_0118,3,16.0,1.3644370579906808,0.4871573997499018,0.671549392283286,0.35185606743061915,3.3119795322418213,3.344961404800415,3.3902103900909424,3.3481236696243286,0.5338872729450189,0.6911743300871318
cand_0202,4,12.0,1.3918233266089475,0.4405247050098068,0.19317661984073087,0.9229715935158525,3.3121302127838135,3.3453972339630127,3.3867881298065186,3.3472058176994324,0.5320393808967627,0.6827216978100082
cand_0086,1,48.0,1.2773586365880796,0.0,0.5198421696690027,0.6769047563268985,3.3118796348571777,3.3385252952575684,3.3870129585266113,3.3449578046798707,0.5275135033880416,0.6620194179616666
cand_0191,4,12.0,1.371023043700287,0.4324416126191949,0.8026729886206793,0.3614200612096606,3.3062233924865723,3.3393874168395996,3.3855228424072266,3.342774021625519,0.5231169387224403,0.6419086412331275
cand_0053,2,24.0,1.5511724063698702,0.5948161397204458,0.5864282481356251,0.5536928813508959,3.302906036376953,3.3404381275177,3.381685256958008,3.3407072126865387,0.5189558755923082,0.6228750961978018
cand_0206,2,24.0,1.3948927401850564,0.2828120872134905,0.29851009947921986,0.7639239088183254,3.3014307022094727,3.3374600410461426,3.3759427070617676,3.3373566389083864,0.5122102356107359,0.5920191734766118
cand_0173,2,24.0,1.5553641301041545,0.5384449805317886,0.8617228282293204,0.7034655748372665,3.2997734546661377,3.337660789489746,3.375237464904785,3.336612641811371,0.5107123618445986,0.585167595672239
cand_0135,4,12.0,1.2896294677221505,0.1772139698399502,0.34349391116180694,0.2748711321059746,3.3005194664001465,3.3303771018981934,3.3796286582946777,3.3359336853027344,0.509345432932222,0.5789149861346902
cand_0085,2,24.0,1.436284153798297,0.2788783336112915,0.9861322127380728,0.9357649873309389,3.300222158432007,3.335880994796753,3.373345375061035,3.3355763256549835,0.5086259682413122,0.5756240090051691
cand_0112,4,12.0,1.3479124681089123,0.2919019923834264,0.5525125665248753,0.6368182545454482,3.2980756759643555,3.3305039405822754,3.374295473098755,3.3333862960338587,0.5042168274937134,0.555455706731936
cand_0105,3,16.0,1.534420369213878,0.4900239139247914,0.9608448600271995,0.9734493746634578,3.293721914291382,3.329467296600342,3.367401361465454,3.329284983873367,0.49595974165751455,0.517686124726375
cand_0048,4,12.0,1.298858962988344,0.3298250710276246,0.9759131671392534,0.5891990856348805,3.2929177284240723,3.3269262313842773,3.3691484928131104,3.328745490312577,0.49487359057581093,0.5127178498210824
cand_0074,3,16.0,1.3679134457732853,0.1872712813774839,0.8837899322575499,0.09053907724184677,3.291029691696167,3.321855068206787,3.373077392578125,3.3277134418487546,0.4927957890285432,0.5032135649574367
cand_0028,3,16.0,1.4437114110568878,0.3645737171867884,0.09614027607473938,0.0001804958758067891,3.285842180252075,3.3204357624053955,3.3670856952667236,3.323489236831665,0.4842912855791809,0.46431224470724863
cand_0163,3,16.0,1.341333476111541,0.15106136552135507,0.38046354802186844,0.4508853182004787,3.2872989177703857,3.316490650177002,3.3652241230010986,3.3221119225025175,0.481518367499755,0.4516283561207409
